label,type,pie chart,line chart,scatter- plot,bubble-plot,spark-lines,column chart,stacked column chart,slope-graph,bar chart,grouped bar chart,stacked bar chart,dot chart,block histo-gram,graphic,locator map,usa state grid map,ai2html,table
headline,string,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,T,✔︎
subhed,string,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,T,✔︎
footnote,string,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,T,✔︎
source,string,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,T,✔︎
credit,string,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,T,✔︎
card,bool,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,T,✔︎
marginTop,int,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,
marginRight,int,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,
marginBottom,int,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,
marginLeft,int,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,
theme,string,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,,
colors,string,✔︎,✔︎,✔︎,✔︎,T,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,,
maxDecimalPlaces,int,✔︎,✔︎,T,T,,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,,,
valuePrefix,string,✔︎,✔︎,T,T,,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,,,
valueSuffix,string,✔︎,✔︎,T,T,,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,,,
ratio,string,,✔︎,✔︎,✔︎,,✔︎,✔︎,✔︎,,,,,,✔︎,✔︎,,,
valueGap,int,,,,,,✔︎,✔︎,✔︎,✔︎,✔︎,✔︎,,,,,,,
labelWidth,int,,,,,,,,✔︎,✔︎,✔︎,✔︎,✔︎,,,,,,
labelMargin,int,,,,,,,,,✔︎,✔︎,✔︎,✔︎,,,,,,
barGap,int,,,,,,,,,✔︎,✔︎,✔︎,✔︎,,,,,,
barHeight,int,,,,,,,,,✔︎,✔︎,✔︎,✔︎,,,,,,
minX,int,,,T,T,,,,,✔︎,✔︎,✔︎,,,,,,,
maxX,int,,,T,T,,,,,✔︎,✔︎,✔︎,,,,,,,
minValue,int,,✔︎,T,T,,,,,,,,,,,,,,
maxValue,int,,✔︎,T,T,,,,,,,,,,,,,,
mostAverage,bool,,,T,T,,,,,,,,,,,,,,
trendlines,bool,,,T,T,,,,,,,,,,,,,,
circleMarker,bool,,✔︎,,,,,,,,,,,,,,,,
lineStyles,string,,✔︎,,,,,,,,,,,,,,,,
interpolate,string,,✔︎,,,,,,,,,,,,,,,,
xLabel,string,,✔︎,✔︎,✔︎,,,,,,,,,,,,,,
yLabel,string,,✔︎,✔︎,✔︎,,,,,,,,,,,,,,
zLabel,string,,,,T,,,,,,,,,,,,,,
tooltip,bool,,✔︎,T,T,,,,,,,,,,,,,,
parseDateFormat,string,,✔︎,T,T,,,,,,,,,,,,,,
timeFormatLarge,string,,✔︎,T,T,,,,,,,,,,,,,,
timeFormatSmall,string,,✔︎,T,T,,,,,,,,,,,,,,
prefixY,string,,✔︎,T,T,,,,,,,,,,,,,,
suffixY,string,,✔︎,T,T,,,,,,,,,,,,,,
ticksY,int,,✔︎,T,T,,,,,,,,,✔︎,,,,,
mobileTicksY,int,,✔︎,T,T,,,,,,,,,T,,,,,
roundTicksFactor,int,,✔︎,T,T,,,,,,,,✔︎,T,,,,,
ticksX,int,,✔︎,T,T,,,,,,,,✔︎,,,,,,
mobileTicksX,int,,✔︎,T,T,,,,,,,,✔︎,,,,,,
prefixX,string,,,T,T,,,,,,,,✔︎,T,,,,,
suffixX,string,,,T,T,,,,,,,,✔︎,T,,,,,
dotRadius,int,,,,,,,,,,,,✔︎,,,,,,
valueMinWidth,int,,,,,,,,,,,,✔︎,,,,,,
blockGap,int,,,,,,,,,,,,,✔︎,,,,,
annotation_left,string,,,,,,,,,,,,,✔︎,,,,,
annotation_right,string,,,,,,,,,,,,,✔︎,,,,,
start_label,string,,,,,,,,✔︎,,,,,,,,,,
end_label,string,,,,,,,,✔︎,,,,,,,,,,
hdr_state,string,,,,,,,,,,,,,,,,,,✔︎
hdr_usps,string,,,,,,,,,,,,,,,,,,✔︎
hdr_ap,string,,,,,,,,,,,,,,,,,,✔︎
hdr_value,string,,,,,,,,,,,,,,,,,,✔︎
