Google,Microsoft,Yahoo,Apple,Facebook,Amazon
716.55,52.13,37.07,97.92,114.94,719.3
716.65,52.1,36.73,98.63,114.6,714.26
728.28,52.04,36.97,99.03,114.39,717.51
728.58,51.62,37.35,98.94,113.02,706.39
719.41,51.48,36.83,99.65,113.37,714.01
718.36,50.14,36.47,98.83,114.38,715.82
718.27,49.83,37.4,97.34,113.91,710.6
718.92,49.69,37.32,97.46,115.08,722.08
710.36,50.39,37.39,97.14,112.08,698.96
691.72,50.13,36.94,97.55,108.97,691.36
693.71,50.07,37.29,95.33,112.7,707.95
695.94,51.19,37.4,95.1,114.16,715.6
697.46,50.99,37.36,95.91,114.28,715.62
701.87,51.91,37.78,95.55,114.19,725.68
675.22,49.83,36.24,96.1,114,728.1
668.26,48.43,35.22,93.4,116.7,737.61
680.04,49.44,36.04,92.04,115.85,736.57
684.11,50.54,36.86,93.59,117.24,745.81
692.1,51.17,37.56,94.4,117.87,753.78
699.21,51.16,37.99,95.6,117.93,748.21
694.49,51.17,37.5,95.89,116.78,742.63
697.77,51.38,37.51,94.99,117.29,741.2
695.36,51.38,37.52,95.53,116.86,735.44
705.63,52.3,37.74,95.94,119.37,736.07
715.09,52.59,37.96,96.68,120.61,739.95
720.64,53.21,37.89,96.98,121.92,745.72
716.98,53.51,37.64,97.42,120.61,744.43
720.95,53.74,37.96,96.87,121,744.86
719.85,53.7,37.72,98.79,121.63,739.61
733.78,53.96,37.95,98.78,121.22,735.59
736.96,53.09,38.17,99.83,123.34,736.67
741.19,55.91,38.9,99.87,125,752.61
738.63,55.8,38.85,99.96,123.94,758.81
742.74,56.57,39.38,99.43,124.31,767.74
739.77,56.73,38.32,98.66,123.09,760.58
738.42,56.76,38.76,97.34,122.51,754.64
741.77,56.19,38.66,96.67,124.36,760.77
745.91,56.21,38.52,102.95,125.15,765.98
768.79,56.68,38.19,104.34,125.26,766.56
772.88,56.58,38.8,104.21,125.06,768.31
771.07,56.58,38.57,106.05,124.88,768.56
773.18,56.97,38.39,104.48,124.9,771.24
771.61,57.39,38.92,105.79,124.88,772.56
782.22,57.96,38.99,105.87,123.9,768.49
781.76,58.06,39.24,107.48,123.3,764.04
784.26,58.2,39.24,108.37,124.37,764.63
784.68,58.02,39.93,108.81,123.91,764.46
784.85,58.3,41.27,108,123.56,757.31
